flight.identification.number.default,flight.identification.callsign,flight.status.live,flight.status.generic.status.text,flight.aircraft.model.code,flight.airline.short,flight.time.scheduled.departure_date,flight.time.scheduled.departure_time,flight.time.scheduled.departure,flight.time.real.departure,flight.time.real.departure_date,flight.time.real.departure_time,Timestamp,WeatherInfo,time.of.day,month,season,day.of.week,temp,dew.pt,vis,pressure,wind.speed,isDelayed?
KL1243,KLM19P,True,departed,B738,KLM,20231229,1635,1703864100,1703865873,20231229,1704,2023-12-29 16:35:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1537,KLM1537,True,departed,E75S,KLM,20231229,1635,1703864100,1703865356,20231229,1655,2023-12-29 16:35:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL919,KLM63Y,True,departed,E190,German Airways,20231229,1640,1703864400,1703865966,20231229,1706,2023-12-29 16:40:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1431,KLM79F,True,departed,B739,KLM,20231229,1640,1703864400,1703866470,20231229,1714,2023-12-29 16:40:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1875,KLM71B,True,departed,E295,KLM,20231229,1640,1703864400,1703865450,20231229,1657,2023-12-29 16:40:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1023,KLM93K,True,departed,E295,KLM,20231229,1640,1703864400,1703865572,20231229,1659,2023-12-29 16:40:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
EI609,EIN60Y,True,departed,A320,Aer Lingus,20231229,1640,1703864400,1703865157,20231229,1652,2023-12-29 16:40:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,0
KL1489,KLM85B,False,departed,E75S,KLM,20231229,1640,1703864400,1703865259,20231229,1654,2023-12-29 16:40:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,0
KL1911,KLM77C,True,departed,E190,German Airways,20231229,1645,1703864700,1703867262,20231229,1727,2023-12-29 16:45:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
KL1757,KLM33Q,False,departed,E75S,KLM,20231229,1645,1703864700,1703866236,20231229,1710,2023-12-29 16:45:00,EHAM 291625Z 29010KT 260V330 5000 TSRA SCT018CB SCT032 BKN042 07/05 Q1004 BECMG 9999 NSW,Afternoon,12,Winter,Friday,7.0 C,5.0 C,5000 meters,1004.0 mb,10 knots,1
